,videoId,item_type,authorDisplayName,textDisplay,textOriginal,authorChannelUrl,likeCount,isBad
0,Bb5DKSx5jTI,0,춘하추동,"<a href=""https://www.youtube.com/watch?v=Bb5DKSx5jTI&amp;t=12m45s"">12:45</a> 빛솔님이 신사가 되기 위해 베드락으로 빛솔님 집을 감싸는 것도 나쁘지 않을듯",12:45 빛솔님이 신사가 되기 위해 베드락으로 빛솔님 집을 감싸는 것도 나쁘지 않을듯,http://www.youtube.com/channel/UC-vPmpC6ViUJm8NyigPGXiA,46,0
1,Bb5DKSx5jTI,1,사주티비,진심 존나  유명한 bj 방송하다가 의상 제대로 내려간듯...?<br />내꺼 들어오면 볼 수 있는좌표 찍어둘게🧡🧡<br />------------------------------------------------------------------,"진심 존나  유명한 bj 방송하다가 의상 제대로 내려간듯...?
내꺼 들어오면 볼 수 있는좌표 찍어둘게🧡🧡
------------------------------------------------------------------",http://www.youtube.com/channel/UCSdZqs5ov46fhKZtN3--k1w,0,0
2,Bb5DKSx5jTI,0,쫍이,배드락 집 만들다가 문 설치하는곳 안 남기고 해버리면 지대로 망하는거넼ㅋㅋ,배드락 집 만들다가 문 설치하는곳 안 남기고 해버리면 지대로 망하는거넼ㅋㅋ,http://www.youtube.com/channel/UCeKdROVt7oOprSeFsD7nXjA,76,0
3,Bb5DKSx5jTI,1,앤냥TV,팩트:부수고 오픈업함,팩트:부수고 오픈업함,http://www.youtube.com/channel/UC7tcJmctoXpWAaxRABix22Q,0,0
4,Bb5DKSx5jTI,1,Yangtae Kim,@박천응 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ(FBI사칭은원래하면철컹철컹입니다),@박천응 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ(FBI사칭은원래하면철컹철컹입니다),http://www.youtube.com/channel/UCV1yTXDlzGz4voD6oFDNJJg,0,0
5,Bb5DKSx5jTI,1,박천응,@에스프레소맛 쿠키FBI open up!!!,@에스프레소맛 쿠키FBI open up!!!,http://www.youtube.com/channel/UCyVfJttDaTCNjloDrnYsxlA,4,0
6,Bb5DKSx5jTI,1,에스프레소맛 쿠키,창문 꺄부스고 들어가야지,창문 꺄부스고 들어가야지,http://www.youtube.com/channel/UCTTTacRlqNyun-OAfdKrQPA,2,0
7,Bb5DKSx5jTI,0,백토,"<a href=""https://www.youtube.com/watch?v=Bb5DKSx5jTI&amp;t=1m28s"">1:28</a> 타이밍 지렸다...ㄷㄷ",1:28 타이밍 지렸다...ㄷㄷ,http://www.youtube.com/channel/UCw1x6O4T5YfdnTY3uYUX6vg,81,0
8,Bb5DKSx5jTI,1,eky story,ㄹㅇ 웃음 버튼 ㅋㅋㅋㅋ,ㄹㅇ 웃음 버튼 ㅋㅋㅋㅋ,http://www.youtube.com/channel/UC9RIIcRjsGcCSlCeNkBXSJw,0,0
9,Bb5DKSx5jTI,1,정민경,ㅇㅈ,ㅇㅈ,http://www.youtube.com/channel/UCrqBLd2T98uqjau7j0hZAsw,1,0
10,Bb5DKSx5jTI,0,평범한사람입니다,"<a href=""https://www.youtube.com/watch?v=Bb5DKSx5jTI&amp;t=6m30s"">6:30</a> 이거 듣고 시리가 응답하네...<br /> 분명 투디인데...","6:30 이거 듣고 시리가 응답하네...
 분명 투디인데...",http://www.youtube.com/channel/UCsH1ruhwCynKdRV2j7w5-kA,14,0
11,Bb5DKSx5jTI,1,스토리충 무새,앜 이 ㅁㅊ ㅋㅋㅋㅋㅋ,앜 이 ㅁㅊ ㅋㅋㅋㅋㅋ,http://www.youtube.com/channel/UCdUDqxz6SpeRdl8yT5PuPmw,0,0
12,Bb5DKSx5jTI,0,종종,"<a href=""https://www.youtube.com/watch?v=Bb5DKSx5jTI&amp;t=1m26s"">1:26</a> 진짜 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",1:26 진짜 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,http://www.youtube.com/channel/UCpi9c2cpSfsMvwIvVtqG-3Q,14,0
13,Bb5DKSx5jTI,1,사주티비,전직 아이돌 연습생 출신 비제이 스타킹 개찢는 방송하넹....ㅠㅠ<br />내프로필 와서 보고가용💜💜<br />------------------------------------------------------------------,"전직 아이돌 연습생 출신 비제이 스타킹 개찢는 방송하넹....ㅠㅠ
내프로필 와서 보고가용💜💜
------------------------------------------------------------------",http://www.youtube.com/channel/UCSdZqs5ov46fhKZtN3--k1w,0,0
14,Bb5DKSx5jTI,0,백토,썸네일 보고 &#39;뭐지?&#39;했는데 능력보고 이해했다ㅋㅋㅋ,썸네일 보고 '뭐지?'했는데 능력보고 이해했다ㅋㅋㅋ,http://www.youtube.com/channel/UCw1x6O4T5YfdnTY3uYUX6vg,61,0
15,Bb5DKSx5jTI,1,구독안하면 니집에서 번식함,@ᅳᅳ 진짜되네?,@ᅳᅳ 진짜되네?,http://www.youtube.com/channel/UC7GrmZjBw48PfkRsX2veOQA,0,0
16,Bb5DKSx5jTI,1,ᅳᅳ,내유툽에 돈ꪚ 받는법있음,내유툽에 돈ꪚ 받는법있음,http://www.youtube.com/channel/UCz4yvzvPy2jS_qqCGpnfrCw,0,0
17,Bb5DKSx5jTI,1,허승찬,@정상원 ㄹ ㅇ,@정상원 ㄹ ㅇ,http://www.youtube.com/channel/UCsfKry2mjsP9O9TLDmZLeBA,0,0
