,videoId,item_type,authorDisplayName,textDisplay,textOriginal,authorChannelUrl,likeCount,category,isBad
0,Lal8mlFqhgA,0,토닥토닥,성인이되어  잘성장해서 대중에게 사랑받고<br>있고 어떤이모가 조카가 잘되고있는데<br>너무 뿌듯하고 행복할거같네요<br>너무 가슴따뜻해지는 영상내용이네요<br>가족없이 커온 저는  가정이루고사는데<br>너무부럽고 뿌듯하고 눈물나는영상이네요<br>박군님 승승장구하시고 정상으로가십시요,"성인이되어  잘성장해서 대중에게 사랑받고
있고 어떤이모가 조카가 잘되고있는데
너무 뿌듯하고 행복할거같네요
너무 가슴따뜻해지는 영상내용이네요
가족없이 커온 저는  가정이루고사는데
너무부럽고 뿌듯하고 눈물나는영상이네요
박군님 승승장구하시고 정상으로가십시요",http://www.youtube.com/channel/UCAg9hZj-_-W0UMliDJGzjBw,306,new,0
1,Lal8mlFqhgA,1,토닥토닥,@유상훈 감사합니다 유상훈님 앞길에도<br>늘평안과 행복이 함께하시길 바랍니다,"@유상훈 감사합니다 유상훈님 앞길에도
늘평안과 행복이 함께하시길 바랍니다",http://www.youtube.com/channel/UCAg9hZj-_-W0UMliDJGzjBw,7,new,0
2,Lal8mlFqhgA,1,유상훈,박군님 영상 에는 욕이 하나도 정말 없어요 인생 살아오면서 되고 싶었던 모습이 바로 남자 박준우 님 이 아닐까 .토닥 님도 행복하시잡!,박군님 영상 에는 욕이 하나도 정말 없어요 인생 살아오면서 되고 싶었던 모습이 바로 남자 박준우 님 이 아닐까 .토닥 님도 행복하시잡!,http://www.youtube.com/channel/UCgsEeZtMji_23nHyNhdHBbA,12,new,0
3,Lal8mlFqhgA,0,이성자,이모님들이 많아 다행입니다<br>누구도 의지 안하고 성실한 박군<br>정말 위로와 박수를보냅니다<br>쭈욱 건강하게  좋은일만 있기를<br>순수한 우리박군 사랑합니다,"이모님들이 많아 다행입니다
누구도 의지 안하고 성실한 박군
정말 위로와 박수를보냅니다
쭈욱 건강하게  좋은일만 있기를
순수한 우리박군 사랑합니다",http://www.youtube.com/channel/UCC4umizDvbzUOtgg5ltLs0Q,64,new,0
4,Lal8mlFqhgA,0,Cho희망,이모님분들도 인상 넘좋고. 정이 넘쳐요.<br>박군 화이팅. <br>꽃길만 걷고 광고 많이 찍어요. <br>이왕에 살꺼면  박군 광고 제품 구입 할껍니다.~~<br>박군  ~~히트 가수 되세요.,"이모님분들도 인상 넘좋고. 정이 넘쳐요.
박군 화이팅. 
꽃길만 걷고 광고 많이 찍어요. 
이왕에 살꺼면  박군 광고 제품 구입 할껍니다.~~
박군  ~~히트 가수 되세요.",http://www.youtube.com/channel/UCP-6P6wDI8aoqYhQS83k4zQ,279,new,0
5,Lal8mlFqhgA,1,ᄉᄏᄏ,쯔양은 뒷광고를 안한 유튜버입니다 많이 보러오세요,쯔양은 뒷광고를 안한 유튜버입니다 많이 보러오세요,http://www.youtube.com/channel/UCLTiGWFYO-jAjxhfSscmi3Q,2,new,0
6,Lal8mlFqhgA,0,youngyea Oh,박군가수님 이제 외롭지 않겠어요! 옆에서<br>잘~챙겨주시는 상민씨와<br>이모님들이 계셔서 이제 편안하게 열심히 노래 하시고<br>왕대박 나길 빌께요!.,"박군가수님 이제 외롭지 않겠어요! 옆에서
잘~챙겨주시는 상민씨와
이모님들이 계셔서 이제 편안하게 열심히 노래 하시고
왕대박 나길 빌께요!.",http://www.youtube.com/channel/UC5m2cAIj-dJhi1qhVTSWbTA,21,new,0
7,Lal8mlFqhgA,0,전경희,박군  이제부터  꽃길만  응원합니다,박군  이제부터  꽃길만  응원합니다,http://www.youtube.com/channel/UClGRHEVrnY34uKi0H0uo1HQ,326,new,0
8,Lal8mlFqhgA,1,ᄉᄏᄏ,쯔양은 뒷광고를 안한 유튜버입니다 많이 보러오세요,쯔양은 뒷광고를 안한 유튜버입니다 많이 보러오세요,http://www.youtube.com/channel/UCLTiGWFYO-jAjxhfSscmi3Q,0,new,0
9,Lal8mlFqhgA,1,시비충 2A,꽃이 아까움ㅉ,꽃이 아까움ㅉ,http://www.youtube.com/channel/UC_gJ1-maIvnCSFl8UhQUttw,0,new,0
10,Lal8mlFqhgA,1,이영숙,혼자인줄 알았구만 댓글중에 고모보다 이모가 났다한분처럼 4분이나되네요 어린나이부터 그고생에다 엄마계실때도 군대있을때도 그고생할때는  멀리계셔나봐요,혼자인줄 알았구만 댓글중에 고모보다 이모가 났다한분처럼 4분이나되네요 어린나이부터 그고생에다 엄마계실때도 군대있을때도 그고생할때는  멀리계셔나봐요,http://www.youtube.com/channel/UCxWa9-uNQ4AjFmygXlJLPpQ,2,new,0
